Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
01519,6573.0,40.4,101205.0,44176.0,535.0,8.139357979613571
01520,14724.0,41.5,98979.0,41190.0,439.0,2.9815267590328713
01521,2491.0,43.9,64868.0,32782.0,234.0,9.39381774387796
01522,3038.0,42.9,94531.0,42806.0,25.0,0.8229098090849243
01523,7847.0,37.1,89808.0,31700.0,796.0,10.144004077991589
01524,7103.0,40.9,65225.0,27649.0,434.0,6.110094326340983
01525,152.0,49.3,47238.0,34870.0,0.0,0.0
01527,13350.0,43.0,71676.0,33070.0,802.0,6.007490636704119
01529,3208.0,41.2,88281.0,32546.0,288.0,8.977556109725686
01531,1109.0,42.5,81136.0,34143.0,49.0,4.418394950405771
01532,14644.0,42.6,107111.0,44516.0,414.0,2.8270964217426933
01534,6303.0,38.9,82950.0,37313.0,202.0,3.2048231001110583
01535,4715.0,41.5,58438.0,28377.0,310.0,6.574761399787911
01536,7138.0,41.9,72292.0,38697.0,533.0,7.467077612776688
01537,2392.0,36.5,75183.0,29793.0,287.0,11.998327759197325
01540,11219.0,41.6,67126.0,30046.0,385.0,3.431678402709689
01541,3432.0,45.0,114688.0,47716.0,231.0,6.730769230769231
01542,1747.0,47.2,76979.0,34597.0,46.0,2.633085289066972
01543,8188.0,40.8,91033.0,35706.0,188.0,2.2960429897410846
01545,35818.0,39.8,97617.0,41717.0,1634.0,4.561952091127366
01550,16775.0,38.8,42376.0,22773.0,2989.0,17.818181818181817
01560,4565.0,34.8,78250.0,36100.0,384.0,8.411829134720701
01561,155.0,25.1,19597.0,11634.0,14.0,9.03225806451613
01562,11746.0,41.3,60943.0,29335.0,1339.0,11.399625404392985
01564,7870.0,45.2,90455.0,41260.0,368.0,4.675984752223634
01566,6945.0,41.4,93776.0,40006.0,425.0,6.119510439164867
01568,7453.0,42.2,110781.0,41914.0,494.0,6.628203408023615
01569,13703.0,40.9,88125.0,34633.0,734.0,5.356491279281909
01570,16806.0,41.5,48650.0,26413.0,2483.0,14.774485302868023
01571,11633.0,35.9,68053.0,29884.0,972.0,8.355540273360269
01581,18481.0,42.0,100552.0,45760.0,805.0,4.355824901249933
01583,7687.0,37.9,73474.0,28368.0,306.0,3.980746715233511
01585,4705.0,44.9,60521.0,34239.0,397.0,8.437832093517535
01588,9569.0,39.7,66591.0,31274.0,740.0,7.7333054655658895
01590,9014.0,43.7,111788.0,44076.0,340.0,3.7719103616596406
01602,24228.0,38.5,62888.0,31545.0,2837.0,11.70959220736338
01603,20380.0,34.9,46367.0,21673.0,4683.0,22.978410206084398
01604,34628.0,35.4,47865.0,25798.0,6095.0,17.60136305879635
01605,27387.0,32.2,36497.0,21843.0,7222.0,26.370175630773726
01606,19043.0,39.6,66411.0,33112.0,1846.0,9.693850758809011
01607,8991.0,33.6,42397.0,23644.0,1931.0,21.4770325881437
01608,3351.0,28.7,21412.0,13397.0,1404.0,41.89794091316025
01609,20948.0,28.1,41647.0,25684.0,3964.0,18.923047546305135
01610,23885.0,27.4,31136.0,14623.0,7896.0,33.05840485660456
01611,2458.0,39.0,64598.0,32154.0,60.0,2.441008950366151
01612,4879.0,38.5,102614.0,37488.0,154.0,3.1563845050215207
01701,31780.0,43.4,88498.0,40828.0,1756.0,5.5254877281309
01702,38180.0,33.5,52428.0,28806.0,5765.0,15.099528548978522
01718,303.0,38.8,135179.0,62421.0,0.0,0.0
01719,5102.0,42.6,103996.0,60204.0,224.0,4.390435123480988
01720,22197.0,41.9,119342.0,55030.0,682.0,3.0724872730549175
01721,16985.0,41.6,102721.0,46112.0,680.0,4.003532528701796
01730,13709.0,43.5,114676.0,53006.0,555.0,4.04843533445182
01731,1893.0,20.6,79063.0,25460.0,96.0,5.071315372424722
01740,5019.0,42.7,144461.0,53195.0,134.0,2.669854552699741
01741,4967.0,48.5,157500.0,76924.0,273.0,5.4962754177571975
01742,18948.0,46.7,132736.0,69382.0,837.0,4.41735275490817
01745,309.0,50.4,117955.0,42582.0,0.0,0.0
01746,14008.0,42.6,108350.0,45096.0,555.0,3.9620217018846375
01747,5934.0,41.5,99886.0,40410.0,141.0,2.3761375126390294
01748,15604.0,40.3,128267.0,55334.0,334.0,2.1404768008203026
01749,19464.0,43.0,74082.0,37219.0,1241.0,6.375873407316071
01752,39141.0,40.0,71424.0,37368.0,2854.0,7.291586827112235
01754,10314.0,42.7,79252.0,41769.0,962.0,9.327128175295714
01756,5895.0,43.6,112104.0,46110.0,113.0,1.9168787107718406
01757,28391.0,38.7,68784.0,33834.0,3047.0,10.732274312282062
01760,34043.0,41.7,99172.0,51700.0,1333.0,3.915636107276092
01770,4200.0,46.0,155564.0,78680.0,85.0,2.0238095238095237
01772,9560.0,42.0,155952.0,66669.0,326.0,3.410041841004184
01773,5367.0,49.1,143897.0,80248.0,184.0,3.428358487050494
01775,6841.0,43.5,131500.0,51690.0,207.0,3.025873410320129
01776,18197.0,43.7,169505.0,74556.0,338.0,1.8574490300599
01778,13421.0,46.6,141083.0,72401.0,565.0,4.209820430668356
